@relation events

@attribute EventType {Conference,Wedding,Workshop,Party}
@attribute EventName string
@attribute Location string
@attribute Date numeric
@attribute Description string

@data
Conference,'Organic needs-based strategy',Glasgow,20250428,'Cloud Tech meetup'
Party,'Seamless solution-oriented moderator',Leeds,20250104,'Birthday bash with DJ'
Wedding,'Synchronized neutral framework',Manchester,20251228,'Beachside wedding event'
Conference,'Switchable bi-directional challenge',London,20250413,'Cloud Tech meetup'
Workshop,'Customizable bi-directional synergy',Manchester,20250803,'Data science workshop'
Conference,'Distributed encompassing forecast',Cardiff,20250823,'AI conference on automation'
Party,'Expanded transitional Graphical User Interface',Liverpool,20250321,'Graduation celebration'
Wedding,'Synergized scalable firmware',Cardiff,20250716,'Family gathering wedding'
Workshop,'Pre-emptive eco-centric application',Edinburgh,20250205,'Data science workshop'
Party,'Sharable interactive focus group',Glasgow,20250118,'New Year party'
Conference,'Adaptive full-range throughput',Glasgow,20250220,'AI conference on automation'
Party,'Sharable empowering complexity',Cardiff,20251015,'Graduation celebration'
Workshop,'Organic neutral strategy',Birmingham,20250616,'Data science workshop'
Workshop,'Realigned 24/7 budgetary management',Liverpool,20250130,'Cybersecurity hands-on'
Workshop,'Team-oriented coherent moratorium',Edinburgh,20250114,'Python basics training'
Conference,'Multi-layered optimal neural-net',Leeds,20250227,'Cloud Tech meetup'
Wedding,'Optional clear-thinking analyzer',Coventry,20250430,'Beachside wedding event'
Party,'Multi-lateral 6thgeneration help-desk',London,20250323,'New Year party'
Party,'Synergized dynamic secured line',Leeds,20250209,'Birthday bash with DJ'
Workshop,'Multi-channeled zero-defect open architecture',Coventry,20251210,'Data science workshop'
Party,'Open-source regional synergy',Edinburgh,20250302,'Birthday bash with DJ'
Party,'Front-line cohesive website',Glasgow,20251111,'New Year party'
Conference,'Enhanced incremental algorithm',Leeds,20250311,'Healthcare trends forum'
Wedding,'User-centric full-range toolset',Leeds,20251228,'Beachside wedding event'
Workshop,'Open-source static support',Edinburgh,20251111,'Python basics training'
Wedding,'Fully-configurable encompassing complexity',Glasgow,20251102,'Traditional wedding celebration'
Workshop,'Total bi-directional implementation',London,20251205,'Python basics training'
Workshop,'Automated methodical definition',London,20250319,'Graduation celebration'
Wedding,'Persevering grid-enabled function',Coventry,20251115,'Traditional wedding celebration'
Workshop,'Focused directional algorithm',Coventry,20250914,'Data science workshop'
Wedding,'Ergonomic impactful groupware',London,20250419,'Beachside wedding event'
Conference,'Cloned zero administration focus group',Manchester,20250517,'AI conference on automation'
Conference,'Stand-alone multimedia initiative',Birmingham,20250921,'Healthcare trends forum'
Workshop,'Public-key full-range algorithm',Manchester,20250214,'Healthcare trends forum'
Party,'Fundamental context-sensitive paradigm',Leeds,20250414,'Graduation celebration'
Party,'Automated bi-directional policy',Coventry,20250618,'Birthday bash with DJ'
Party,'Monitored upward-trending toolset',Glasgow,20250502,'New Year party'
Conference,'Optional real-time migration',Leeds,20250214,'Cloud Tech meetup'
Conference,'Networked object-oriented core',Birmingham,20250409,'Healthcare trends forum'
Conference,'Balanced tertiary Internet solution',Birmingham,20250101,'Cloud Tech meetup'
Party,'Programmable national software',Glasgow,20251007,'Graduation celebration'
Workshop,'User-centric user-facing secured line',Coventry,20250318,'Python basics training'
Workshop,'Multi-lateral intermediate architecture',Leeds,20250915,'Cybersecurity hands-on'
Wedding,'Managed regional functionalities',Birmingham,20250915,'AI conference on automation'
Conference,'Decentralized uniform framework',Birmingham,20250716,'Healthcare trends forum'
Workshop,'Integrated static installation',Coventry,20250507,'Cybersecurity hands-on'
Workshop,'Open-architected tangible frame',Cardiff,20250804,'Birthday bash with DJ'
Party,'De-engineered content-based instruction set',Coventry,20250916,'New Year party'
Party,'Multi-tiered systematic synergy',Liverpool,20251217,'New Year party'
Conference,'Enhanced reciprocal open system',Leeds,20250427,'Birthday bash with DJ'
Conference,'Open-architected neutral ability',Glasgow,20250429,'AI conference on automation'
Party,'Horizontal demand-driven Internet solution',Edinburgh,20251102,'Graduation celebration'
Wedding,'Reduced real-time projection',Cardiff,20250506,'Beachside wedding event'
Conference,'Persistent leadingedge intranet',Coventry,20250920,'Cloud Tech meetup'
Workshop,'Extended multimedia leverage',Manchester,20251105,'Data science workshop'
Party,'User-centric composite protocol',Coventry,20250202,'Graduation celebration'
